name,address,postal_code,country,region,latitude,longitude,check_in,check_out,price,currency,rating,num_reviews,availability,stars,type,persons,room_type,nota_personal,nota_facilităţi,nota_curăţenie,nota_confort,nota_raport_calitate/preţ,nota_locaţie,nota_wifi_gratuit,vedere_la_oras,menaj_zilnic,canale_prin_satelit,zona_de_luat_masa_in_aer_liber,cada,facilitati_de_calcat,izolare_fonica,terasa_la_soare,pardoseala_de_gresie/marmura,papuci_de_casa,uscator_de_rufe,animale_de_companie,incalzire,birou,mobilier_exterior,alarma_de_fum,vedere_la_gradina,cuptor,cuptor_cu_microunde,zona_de_relaxare,canapea,intrare_privata,fier_de_calcat,masina_de_cafea,plita_de_gatit,extinctoare,cana_fierbator,gradina,ustensile_de_bucatarie,masina_de_spalat,balcon,pardoseala_de_lemn_sau_parchet,aparat_pentru_prepararea_de_ceai/cafea,zona_de_luat_masa,canale_prin_cablu,aer_conditionat,masa,suport_de_haine,cada_sau_dus,frigider,mic_dejun
Moonlight Lake View Mamaia,"485a Bulevardul Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2555642,28.6184035,De la 15:00 la 23:00,,400.0, lei,8.7,15,,3.0,apartment,4.0,Apartament cu 1 dormitor,0.0,8.7,8.0,8.4,8.7,9.2,10.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Hotel Hawaii,"Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2556122,28.6216539,De la 16:00 la 00:00,,810.0, lei,9.1,252,,4.0,hotel,2.0,Cameră dublă cu vedere la mare,0.0,8.9,9.3,9.3,8.5,9.6,9.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False
Pirates Resort,"Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2563958,28.6206524,De la 16:00 la 00:00,,422.0, lei,8.3,751,,3.0,hotel,2.0,Cameră dublă superioară,0.0,8.1,8.2,8.4,7.9,8.8,7.8,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True,True,True,False
Apartament Mamaia central Lac Siutghiol 2,"485 Bulevardul Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2568987,28.6184135,De la 13:00 la 18:00,,361.0, lei,9.0,5,,3.0,apartment,3.0,Apartament cu 1 dormitor,0.0,8.5,8.5,8.1,8.0,9.0,7.5,False,False,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False
NALU Studio Mamaia,"435 Bulevardul Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2460467,28.6194338,De la 15:00 la 20:00,,700.0, lei,10.0,13,,3.0,apartment,4.0,Apartament cu 1 dormitor,0.0,10.0,10.0,10.0,10.0,10.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,False
Riviera Studios,"Bulevardul Mamaia Riviera Residence Building, 900001 Mamaia, România",900001.0,România,Constanţa,44.2460716,28.6225607,De la 16:00 la 23:30,,932.0, lei,9.2,515,,3.0,aparthotel,3.0,Studio cu vedere laterală la mare,0.0,9.1,9.2,9.4,9.2,9.5,9.1,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,False,False,False,True,True,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False
Black Sea,"Bulevardul Mamaia nr. 435, Bl.B, et.8, ap. 74, 900581 Mamaia, România",900581.0,România,Constanţa,44.2457694,28.6195922,De la 07:00 la 12:00,,300.0, lei,8.6,14,,3.0,apartment,3.0,Studio,0.0,9.1,8.6,8.6,8.4,8.9,0.0,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,False
Breeze Lake,"433 Bulevardul Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.245469,28.6193335,,,748.0, lei,9.5,10,,3.0,apartment,4.0,Apartament cu 1 dormitor,0.0,9.0,9.8,9.8,9.5,9.8,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Hotel Riviera,"Mamaia Resort, 900001 Mamaia, România",900001.0,România,Constanţa,44.2449391,28.6219838,De la 16:00 la 00:00,,353.0, lei,8.0,1571,,3.0,hotel,2.0,Cameră dublă pe colț fără balcon,0.0,7.8,7.9,8.0,7.4,8.8,7.1,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
CSO Luxury Residence,"504 Bulevardul Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.259589,28.6189761,De la 15:00 la 22:00,,850.0, lei,10.0,21,,3.0,apartment,4.0,Apartament cu 1 dormitor,0.0,10.0,10.0,10.0,10.0,9.9,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
